"ID";"Requisito";"Componentes integrados";"Escenario";"Precondición";"Resultado esperado";"Resultado obtenido";"Estado";"Defecto";"Evidencia"
"PI-01";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador publica avisos y la comunidad los consulta";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-02";"RN-02";"Spring Security + MockMvc + Servicio + Testcontainers";"Formularios publicos incluyen token csrf";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-03";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador puede renderizar incidencias con comentarios y adjuntos vacios";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-04";"RN-03";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Errores de aprobacion de reserva no terminan en error500";"Contexto @SpringBootTest cargado sin sesión y contenedor de BD activo";"MockMvc recibe HTTP 4xx/302 confirmando la denegación de la petición";"MockMvc verificó el código de error y el bloqueo en la capa de seguridad/controlador";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-05";"RN-02";"Spring Security + MockMvc + Servicio + Testcontainers";"Enlace de recuperacion sin token muestra pantalla amigable";"Contexto @SpringBootTest cargado sin sesión y contenedor de BD activo";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-06";"RN-06";"MockMvc + Generador de Archivos + Testcontainers";"Administrador puede importar residente desde excel";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 2xx/302 y los datos persisten en la BD del contenedor";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-07";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Pantalla de acceso denegado puede renderizarse";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-08";"RN-05";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Acciones de pago requieren csrf";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-09";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Registro rechaza correo duplicado aunque cambie mayusculas y espacios";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc recibe HTTP 4xx/302 confirmando la denegación de la petición";"MockMvc verificó el código de error y el bloqueo en la capa de seguridad/controlador";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-10";"RN-03";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador puede renderizar reservas sin registros";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-11";"RN-05";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Porteria no puede entrar a administracion ni crear solicitudes";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 2xx/302 y los datos persisten en la BD del contenedor";"Se confirmó la persistencia cruzando la capa web hasta el contenedor Docker";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-12";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Porteria puede abrir su dashboard";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-13";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Residente solicita y porteria gestiona el ciclo de acceso";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-14";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador no puede entrar a operaciones de porteria";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-15";"RN-05";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Importacion de residentes es exclusiva de administracion";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-16";"RN-05";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Checkout sandbox solo es visible para residente con pago pse pendiente";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-17";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador puede crear personal y el servidor valida confirmacion";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 2xx/302 y los datos persisten en la BD del contenedor";"Se confirmó la persistencia cruzando la capa web hasta el contenedor Docker";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
